position,timeFrame,voxelType,fireType,
"(-17.0, 1.0, 5.0)",763.6192,Empty,TrialFire,
"(-19.0, 1.0, 3.0)",763.7722,Distractor,TrialFire,
"(-19.0, 1.0, 4.0)",763.6192,Empty,TrialFire,
"(-19.0, 1.0, 5.0)",763.7722,Distractor,TrialFire,
"(-19.0, 1.0, 6.0)",763.6192,Empty,TrialFire,
"(-19.0, 2.0, 3.0)",763.6192,Empty,TrialFire,
"(-19.0, 2.0, 4.0)",763.6192,Empty,TrialFire,
"(-19.0, 2.0, 5.0)",763.7824,Distractor,TrialFire,
"(-19.0, 2.0, 6.0)",763.6192,Empty,TrialFire,
"(-19.0, 3.0, 3.0)",763.6192,Empty,TrialFire,
"(-19.0, 3.0, 4.0)",763.6192,Empty,TrialFire,
"(-19.0, 3.0, 5.0)",763.6192,Empty,TrialFire,
"(-19.0, 3.0, 6.0)",763.6192,Empty,TrialFire,
"(-19.0, 4.0, 3.0)",763.6192,Empty,TrialFire,
"(-19.0, 4.0, 4.0)",763.6192,Empty,TrialFire,
"(-19.0, 4.0, 5.0)",763.6192,Empty,TrialFire,
"(-19.0, 4.0, 6.0)",763.7722,Distractor,TrialFire,
"(-18.0, 1.0, 3.0)",763.6192,Empty,TrialFire,
"(-18.0, 1.0, 4.0)",763.6192,Empty,TrialFire,
"(-18.0, 1.0, 5.0)",763.7722,Distractor,TrialFire,
"(-18.0, 1.0, 6.0)",763.6192,Empty,TrialFire,
"(-18.0, 2.0, 3.0)",763.6192,Empty,TrialFire,
"(-18.0, 2.0, 4.0)",763.6192,Empty,TrialFire,
"(-18.0, 2.0, 5.0)",763.6192,Empty,TrialFire,
"(-18.0, 2.0, 6.0)",763.6192,Empty,TrialFire,
"(-18.0, 3.0, 3.0)",763.6192,Empty,TrialFire,
"(-18.0, 3.0, 4.0)",763.6192,Empty,TrialFire,
"(-18.0, 3.0, 5.0)",763.6192,Empty,TrialFire,
"(-18.0, 3.0, 6.0)",763.6192,Empty,TrialFire,
"(-18.0, 4.0, 3.0)",763.6192,Empty,TrialFire,
"(-18.0, 4.0, 4.0)",763.6192,Empty,TrialFire,
"(-18.0, 4.0, 5.0)",763.6192,Empty,TrialFire,
"(-18.0, 4.0, 6.0)",763.6192,Empty,TrialFire,
"(-17.0, 1.0, 3.0)",763.7722,Distractor,TrialFire,
"(-17.0, 1.0, 4.0)",763.6192,Empty,TrialFire,
"(-17.0, 1.0, 6.0)",763.7931,Distractor,TrialFire,
"(-17.0, 2.0, 3.0)",763.6192,Empty,TrialFire,
"(-17.0, 2.0, 4.0)",763.6192,Empty,TrialFire,
"(-17.0, 2.0, 5.0)",763.6192,Empty,TrialFire,
"(-17.0, 2.0, 6.0)",763.6192,Empty,TrialFire,
"(-17.0, 3.0, 3.0)",763.6192,Empty,TrialFire,
"(-17.0, 3.0, 4.0)",763.6192,Empty,TrialFire,
"(-17.0, 3.0, 5.0)",763.6192,Empty,TrialFire,
"(-17.0, 3.0, 6.0)",763.6192,Empty,TrialFire,
"(-17.0, 4.0, 3.0)",763.6192,Empty,TrialFire,
"(-17.0, 4.0, 4.0)",763.6192,Empty,TrialFire,
"(-17.0, 4.0, 5.0)",763.6192,Empty,TrialFire,
"(-17.0, 4.0, 6.0)",763.6192,Empty,TrialFire,
"(-16.0, 1.0, 3.0)",763.6192,Empty,TrialFire,
"(-16.0, 1.0, 4.0)",763.6192,Empty,TrialFire,
"(-16.0, 1.0, 5.0)",763.6192,Empty,TrialFire,
"(-16.0, 1.0, 6.0)",763.6192,Empty,TrialFire,
"(-16.0, 2.0, 3.0)",763.6192,Empty,TrialFire,
"(-16.0, 2.0, 4.0)",763.7722,Distractor,TrialFire,
"(-16.0, 2.0, 5.0)",763.6192,Empty,TrialFire,
"(-16.0, 2.0, 6.0)",763.6192,Empty,TrialFire,
"(-16.0, 3.0, 3.0)",763.6192,Empty,TrialFire,
"(-16.0, 3.0, 4.0)",763.6192,Empty,TrialFire,
"(-16.0, 3.0, 5.0)",763.6192,Empty,TrialFire,
"(-16.0, 3.0, 6.0)",763.6192,Empty,TrialFire,
