position,timeFrame,voxelType,fireType,
"(13.0, 3.0, 6.0)",142.4674,Empty,TrialFire,
"(11.0, 1.0, 4.0)",142.4674,Empty,TrialFire,
"(11.0, 1.0, 5.0)",142.4674,Empty,TrialFire,
"(11.0, 1.0, 6.0)",142.4674,Empty,TrialFire,
"(11.0, 1.0, 7.0)",142.4674,Empty,TrialFire,
"(11.0, 2.0, 4.0)",142.4674,Empty,TrialFire,
"(11.0, 2.0, 5.0)",142.4674,Empty,TrialFire,
"(11.0, 2.0, 6.0)",142.4674,Empty,TrialFire,
"(11.0, 2.0, 7.0)",142.5924,Distractor,TrialFire,
"(11.0, 3.0, 4.0)",142.4674,Empty,TrialFire,
"(11.0, 3.0, 5.0)",142.4674,Empty,TrialFire,
"(11.0, 3.0, 6.0)",142.5924,Distractor,TrialFire,
"(11.0, 3.0, 7.0)",142.4674,Empty,TrialFire,
"(11.0, 4.0, 4.0)",142.4674,Empty,TrialFire,
"(11.0, 4.0, 5.0)",142.4674,Empty,TrialFire,
"(11.0, 4.0, 6.0)",142.4674,Empty,TrialFire,
"(11.0, 4.0, 7.0)",142.4674,Empty,TrialFire,
"(12.0, 1.0, 4.0)",142.4674,Empty,TrialFire,
"(12.0, 1.0, 5.0)",142.4674,Empty,TrialFire,
"(12.0, 1.0, 6.0)",142.4674,Empty,TrialFire,
"(12.0, 1.0, 7.0)",142.4674,Empty,TrialFire,
"(12.0, 2.0, 4.0)",142.4674,Empty,TrialFire,
"(12.0, 2.0, 5.0)",142.4674,Empty,TrialFire,
"(12.0, 2.0, 6.0)",142.5924,Distractor,TrialFire,
"(12.0, 2.0, 7.0)",142.4674,Empty,TrialFire,
"(12.0, 3.0, 4.0)",142.4674,Empty,TrialFire,
"(12.0, 3.0, 5.0)",142.4674,Empty,TrialFire,
"(12.0, 3.0, 6.0)",142.4674,Empty,TrialFire,
"(12.0, 3.0, 7.0)",142.4674,Empty,TrialFire,
"(12.0, 4.0, 4.0)",142.4674,Empty,TrialFire,
"(12.0, 4.0, 5.0)",142.4674,Empty,TrialFire,
"(12.0, 4.0, 6.0)",142.4674,Empty,TrialFire,
"(12.0, 4.0, 7.0)",142.4674,Empty,TrialFire,
"(13.0, 1.0, 4.0)",142.4674,Empty,TrialFire,
"(13.0, 1.0, 5.0)",142.4674,Empty,TrialFire,
"(13.0, 1.0, 6.0)",142.4674,Empty,TrialFire,
"(13.0, 1.0, 7.0)",142.4674,Empty,TrialFire,
"(13.0, 2.0, 4.0)",142.4674,Empty,TrialFire,
"(13.0, 2.0, 5.0)",142.4674,Empty,TrialFire,
"(13.0, 2.0, 6.0)",142.4674,Empty,TrialFire,
"(13.0, 2.0, 7.0)",142.4674,Empty,TrialFire,
"(13.0, 3.0, 4.0)",142.4674,Empty,TrialFire,
"(13.0, 3.0, 5.0)",142.4674,Empty,TrialFire,
"(13.0, 3.0, 7.0)",142.4674,Empty,TrialFire,
"(13.0, 4.0, 4.0)",142.4674,Empty,TrialFire,
"(13.0, 4.0, 5.0)",142.4674,Empty,TrialFire,
"(13.0, 4.0, 6.0)",142.5924,Distractor,TrialFire,
"(13.0, 4.0, 7.0)",142.5924,Distractor,TrialFire,
"(14.0, 1.0, 4.0)",142.4674,Empty,TrialFire,
"(14.0, 1.0, 5.0)",142.4674,Empty,TrialFire,
"(14.0, 1.0, 6.0)",142.4674,Empty,TrialFire,
"(14.0, 1.0, 7.0)",142.4674,Empty,TrialFire,
"(14.0, 2.0, 4.0)",142.5924,Distractor,TrialFire,
"(14.0, 2.0, 5.0)",142.4674,Empty,TrialFire,
"(14.0, 2.0, 6.0)",142.4674,Empty,TrialFire,
"(14.0, 2.0, 7.0)",142.4674,Empty,TrialFire,
"(14.0, 3.0, 4.0)",142.4674,Empty,TrialFire,
"(14.0, 3.0, 5.0)",142.4674,Empty,TrialFire,
"(14.0, 3.0, 6.0)",142.4674,Empty,TrialFire,
"(14.0, 3.0, 7.0)",142.4674,Empty,TrialFire,
"(14.0, 4.0, 4.0)",142.4674,Empty,TrialFire,
"(14.0, 4.0, 5.0)",142.4674,Empty,TrialFire,
"(14.0, 4.0, 6.0)",142.4674,Empty,TrialFire,
"(14.0, 4.0, 7.0)",142.4674,Empty,TrialFire,
"(-4.0, 3.0, 17.0)",142.5746,Distractor,None,
"(15.0, 2.0, 5.0)",142.5746,Distractor,None,
"(-14.0, 2.0, 5.0)",142.5746,Distractor,None,
"(-12.0, 3.0, 18.0)",142.5746,Distractor,None,
"(-19.0, 2.0, 7.0)",142.5746,Distractor,None,
"(-20.0, 4.0, 4.0)",142.5746,Distractor,None,
"(-9.0, 4.0, 14.0)",142.5746,Distractor,None,
"(-14.0, 1.0, 11.0)",142.5746,Distractor,None,
"(-5.0, 3.0, 7.0)",142.5746,Distractor,None,
"(5.0, 3.0, 2.0)",142.5746,Distractor,None,
"(15.0, 4.0, 19.0)",142.5746,Distractor,None,
"(3.0, 4.0, 12.0)",142.5746,Distractor,None,
"(-16.0, 1.0, 0.0)",142.5746,Distractor,None,
"(-15.0, 4.0, 12.0)",142.5746,Distractor,None,
"(15.0, 3.0, 11.0)",142.5746,Distractor,None,
"(-4.0, 4.0, 19.0)",142.5746,Distractor,None,
"(15.0, 2.0, 17.0)",142.5746,Distractor,None,
"(7.0, 3.0, 17.0)",142.5746,Distractor,None,
"(-6.0, 3.0, 13.0)",142.5746,Distractor,None,
"(-19.0, 4.0, 9.0)",142.5746,Distractor,None,
"(-20.0, 3.0, 16.0)",142.5746,Distractor,None,
"(-18.0, 1.0, 4.0)",142.5746,Distractor,None,
"(-9.0, 4.0, 16.0)",142.5746,Distractor,None,
"(7.0, 2.0, 10.0)",142.5746,Distractor,None,
"(-17.0, 3.0, 0.0)",142.5746,Distractor,None,
"(13.0, 4.0, 16.0)",142.5746,Distractor,None,
"(9.0, 4.0, 12.0)",142.5746,Distractor,None,
"(14.0, 4.0, 0.0)",142.5746,Distractor,None,
"(11.0, 4.0, 14.0)",142.5746,Distractor,None,
"(11.0, 1.0, 19.0)",142.5746,Distractor,None,
"(-9.0, 3.0, 3.0)",142.6021,Target,None,
