position,timeFrame,voxelType,fireType,
"(-17.0, 3.0, 13.0)",724.4144,Empty,TrialFire,
"(-19.0, 1.0, 11.0)",724.4144,Empty,TrialFire,
"(-19.0, 1.0, 12.0)",724.4144,Empty,TrialFire,
"(-19.0, 1.0, 13.0)",724.4144,Empty,TrialFire,
"(-19.0, 1.0, 14.0)",724.5583,Distractor,TrialFire,
"(-19.0, 2.0, 11.0)",724.4144,Empty,TrialFire,
"(-19.0, 2.0, 12.0)",724.5583,Distractor,TrialFire,
"(-19.0, 2.0, 13.0)",724.4144,Empty,TrialFire,
"(-19.0, 2.0, 14.0)",724.4144,Empty,TrialFire,
"(-19.0, 3.0, 11.0)",724.4144,Empty,TrialFire,
"(-19.0, 3.0, 12.0)",724.5583,Distractor,TrialFire,
"(-19.0, 3.0, 13.0)",724.4144,Empty,TrialFire,
"(-19.0, 3.0, 14.0)",724.4144,Empty,TrialFire,
"(-19.0, 4.0, 11.0)",724.4144,Empty,TrialFire,
"(-19.0, 4.0, 12.0)",724.4144,Empty,TrialFire,
"(-19.0, 4.0, 13.0)",724.4144,Empty,TrialFire,
"(-19.0, 4.0, 14.0)",724.4144,Empty,TrialFire,
"(-18.0, 1.0, 11.0)",724.5583,Distractor,TrialFire,
"(-18.0, 1.0, 12.0)",724.4144,Empty,TrialFire,
"(-18.0, 1.0, 13.0)",724.4144,Empty,TrialFire,
"(-18.0, 1.0, 14.0)",724.4144,Empty,TrialFire,
"(-18.0, 2.0, 11.0)",724.4144,Empty,TrialFire,
"(-18.0, 2.0, 12.0)",724.4144,Empty,TrialFire,
"(-18.0, 2.0, 13.0)",724.4144,Empty,TrialFire,
"(-18.0, 2.0, 14.0)",724.4144,Empty,TrialFire,
"(-18.0, 3.0, 11.0)",724.4144,Empty,TrialFire,
"(-18.0, 3.0, 12.0)",724.4144,Empty,TrialFire,
"(-18.0, 3.0, 13.0)",724.4144,Empty,TrialFire,
"(-18.0, 3.0, 14.0)",724.4144,Empty,TrialFire,
"(-18.0, 4.0, 11.0)",724.4144,Empty,TrialFire,
"(-18.0, 4.0, 12.0)",724.4144,Empty,TrialFire,
"(-18.0, 4.0, 13.0)",724.4144,Empty,TrialFire,
"(-18.0, 4.0, 14.0)",724.4144,Empty,TrialFire,
"(-17.0, 1.0, 11.0)",724.4144,Empty,TrialFire,
"(-17.0, 1.0, 12.0)",724.4144,Empty,TrialFire,
"(-17.0, 1.0, 13.0)",724.4144,Empty,TrialFire,
"(-17.0, 1.0, 14.0)",724.4144,Empty,TrialFire,
"(-17.0, 2.0, 11.0)",724.4144,Empty,TrialFire,
"(-17.0, 2.0, 12.0)",724.4144,Empty,TrialFire,
"(-17.0, 2.0, 13.0)",724.4144,Empty,TrialFire,
"(-17.0, 2.0, 14.0)",724.4144,Empty,TrialFire,
"(-17.0, 3.0, 11.0)",724.4144,Empty,TrialFire,
"(-17.0, 3.0, 12.0)",724.4144,Empty,TrialFire,
"(-17.0, 3.0, 14.0)",724.4144,Empty,TrialFire,
"(-17.0, 4.0, 11.0)",724.4144,Empty,TrialFire,
"(-17.0, 4.0, 12.0)",724.4144,Empty,TrialFire,
"(-17.0, 4.0, 13.0)",724.4144,Empty,TrialFire,
