position,timeFrame,voxelType,fireType,
"(3.0, 3.0, 7.0)",522.2226,Empty,TrialFire,
"(1.0, 1.0, 5.0)",522.2226,Empty,TrialFire,
"(1.0, 1.0, 6.0)",522.2226,Empty,TrialFire,
"(1.0, 1.0, 7.0)",522.3607,Distractor,TrialFire,
"(1.0, 1.0, 8.0)",522.2226,Empty,TrialFire,
"(1.0, 2.0, 5.0)",522.2226,Empty,TrialFire,
"(1.0, 2.0, 6.0)",522.2226,Empty,TrialFire,
"(1.0, 2.0, 7.0)",522.2226,Empty,TrialFire,
"(1.0, 2.0, 8.0)",522.2226,Empty,TrialFire,
"(1.0, 3.0, 5.0)",522.2226,Empty,TrialFire,
"(1.0, 3.0, 6.0)",522.2226,Empty,TrialFire,
"(1.0, 3.0, 7.0)",522.2226,Empty,TrialFire,
"(1.0, 3.0, 8.0)",522.2226,Empty,TrialFire,
"(1.0, 4.0, 5.0)",522.2226,Empty,TrialFire,
"(1.0, 4.0, 6.0)",522.2226,Empty,TrialFire,
"(1.0, 4.0, 7.0)",522.2226,Empty,TrialFire,
"(1.0, 4.0, 8.0)",522.3607,Distractor,TrialFire,
"(2.0, 1.0, 5.0)",522.2226,Empty,TrialFire,
"(2.0, 1.0, 6.0)",522.2226,Empty,TrialFire,
"(2.0, 1.0, 7.0)",522.2226,Empty,TrialFire,
"(2.0, 1.0, 8.0)",522.2226,Empty,TrialFire,
"(2.0, 2.0, 5.0)",522.2226,Empty,TrialFire,
"(2.0, 2.0, 6.0)",522.2226,Empty,TrialFire,
"(2.0, 2.0, 7.0)",522.2226,Empty,TrialFire,
"(2.0, 2.0, 8.0)",522.2226,Empty,TrialFire,
"(2.0, 3.0, 5.0)",522.3607,Distractor,TrialFire,
"(2.0, 3.0, 6.0)",522.3607,Distractor,TrialFire,
"(2.0, 3.0, 7.0)",522.2226,Empty,TrialFire,
"(2.0, 3.0, 8.0)",522.2226,Empty,TrialFire,
"(2.0, 4.0, 5.0)",522.2226,Empty,TrialFire,
"(2.0, 4.0, 6.0)",522.3607,Distractor,TrialFire,
"(2.0, 4.0, 7.0)",522.2226,Empty,TrialFire,
"(2.0, 4.0, 8.0)",522.2226,Empty,TrialFire,
"(3.0, 1.0, 5.0)",522.2226,Empty,TrialFire,
"(3.0, 1.0, 6.0)",522.2226,Empty,TrialFire,
"(3.0, 1.0, 7.0)",522.2226,Empty,TrialFire,
"(3.0, 1.0, 8.0)",522.2226,Empty,TrialFire,
"(3.0, 2.0, 5.0)",522.2226,Empty,TrialFire,
"(3.0, 2.0, 6.0)",522.2226,Empty,TrialFire,
"(3.0, 2.0, 7.0)",522.2226,Empty,TrialFire,
"(3.0, 2.0, 8.0)",522.2226,Empty,TrialFire,
"(3.0, 3.0, 5.0)",522.2226,Empty,TrialFire,
"(3.0, 3.0, 6.0)",522.2226,Empty,TrialFire,
"(3.0, 3.0, 8.0)",522.2226,Empty,TrialFire,
"(3.0, 4.0, 5.0)",522.2226,Empty,TrialFire,
"(3.0, 4.0, 6.0)",522.2226,Empty,TrialFire,
"(3.0, 4.0, 7.0)",522.3607,Distractor,TrialFire,
"(3.0, 4.0, 8.0)",522.2226,Empty,TrialFire,
"(4.0, 1.0, 5.0)",522.2226,Empty,TrialFire,
