position,timeFrame,voxelType,fireType,
"(-10.0, 1.0, 15.0)",886.6641,Empty,TrialFire,
"(-12.0, 1.0, 13.0)",886.6641,Empty,TrialFire,
"(-12.0, 1.0, 14.0)",886.6641,Empty,TrialFire,
"(-12.0, 1.0, 15.0)",886.6641,Empty,TrialFire,
"(-12.0, 1.0, 16.0)",886.6641,Empty,TrialFire,
"(-12.0, 2.0, 13.0)",886.6641,Empty,TrialFire,
"(-12.0, 2.0, 14.0)",886.6641,Empty,TrialFire,
"(-12.0, 2.0, 15.0)",886.7985,Distractor,TrialFire,
"(-12.0, 2.0, 16.0)",886.6641,Empty,TrialFire,
"(-12.0, 3.0, 13.0)",886.6641,Empty,TrialFire,
"(-12.0, 3.0, 14.0)",886.6641,Empty,TrialFire,
"(-12.0, 3.0, 15.0)",886.7985,Distractor,TrialFire,
"(-12.0, 3.0, 16.0)",886.6641,Empty,TrialFire,
"(-12.0, 4.0, 13.0)",886.6641,Empty,TrialFire,
"(-12.0, 4.0, 14.0)",886.6641,Empty,TrialFire,
"(-12.0, 4.0, 15.0)",886.6641,Empty,TrialFire,
"(-12.0, 4.0, 16.0)",886.6641,Empty,TrialFire,
"(-11.0, 1.0, 13.0)",886.6641,Empty,TrialFire,
"(-11.0, 1.0, 14.0)",886.6641,Empty,TrialFire,
"(-11.0, 1.0, 15.0)",886.6641,Empty,TrialFire,
"(-11.0, 1.0, 16.0)",886.6641,Empty,TrialFire,
"(-11.0, 2.0, 13.0)",886.6641,Empty,TrialFire,
"(-11.0, 2.0, 14.0)",886.6641,Empty,TrialFire,
"(-11.0, 2.0, 15.0)",886.6641,Empty,TrialFire,
"(-11.0, 2.0, 16.0)",886.6641,Empty,TrialFire,
"(-11.0, 3.0, 13.0)",886.7985,Distractor,TrialFire,
"(-11.0, 3.0, 14.0)",886.6641,Empty,TrialFire,
"(-11.0, 3.0, 15.0)",886.6641,Empty,TrialFire,
"(-11.0, 3.0, 16.0)",886.7985,Distractor,TrialFire,
"(-11.0, 4.0, 13.0)",886.6641,Empty,TrialFire,
"(-11.0, 4.0, 14.0)",886.6641,Empty,TrialFire,
"(-11.0, 4.0, 15.0)",886.6641,Empty,TrialFire,
"(-11.0, 4.0, 16.0)",886.6641,Empty,TrialFire,
"(-10.0, 1.0, 13.0)",886.6641,Empty,TrialFire,
"(-10.0, 1.0, 14.0)",886.6641,Empty,TrialFire,
"(-10.0, 1.0, 16.0)",886.6641,Empty,TrialFire,
"(-10.0, 2.0, 13.0)",886.6641,Empty,TrialFire,
"(-10.0, 2.0, 14.0)",886.6641,Empty,TrialFire,
"(-10.0, 2.0, 15.0)",886.6641,Empty,TrialFire,
"(-10.0, 2.0, 16.0)",886.6641,Empty,TrialFire,
"(-10.0, 3.0, 13.0)",886.6641,Empty,TrialFire,
"(-10.0, 3.0, 14.0)",886.6641,Empty,TrialFire,
"(-10.0, 3.0, 15.0)",886.7985,Distractor,TrialFire,
"(-10.0, 3.0, 16.0)",886.6641,Empty,TrialFire,
"(-10.0, 4.0, 13.0)",886.6641,Empty,TrialFire,
"(-10.0, 4.0, 14.0)",886.6641,Empty,TrialFire,
"(-10.0, 4.0, 15.0)",886.6641,Empty,TrialFire,
"(-10.0, 4.0, 16.0)",886.6641,Empty,TrialFire,
"(-9.0, 1.0, 13.0)",886.6641,Empty,TrialFire,
"(-9.0, 1.0, 14.0)",886.6641,Empty,TrialFire,
"(-9.0, 1.0, 15.0)",886.6641,Empty,TrialFire,
"(-9.0, 1.0, 16.0)",886.7985,Distractor,TrialFire,
"(-9.0, 2.0, 13.0)",886.6641,Empty,TrialFire,
"(-9.0, 2.0, 14.0)",886.6641,Empty,TrialFire,
"(-9.0, 2.0, 15.0)",886.6641,Empty,TrialFire,
"(-9.0, 2.0, 16.0)",886.6641,Empty,TrialFire,
"(-9.0, 3.0, 13.0)",886.6641,Empty,TrialFire,
"(-9.0, 3.0, 14.0)",886.6641,Empty,TrialFire,
"(-9.0, 3.0, 15.0)",886.6641,Empty,TrialFire,
"(-9.0, 3.0, 16.0)",886.6641,Empty,TrialFire,
"(-9.0, 4.0, 13.0)",886.6641,Empty,TrialFire,
"(-9.0, 4.0, 14.0)",886.6641,Empty,TrialFire,
"(-9.0, 4.0, 15.0)",886.6641,Empty,TrialFire,
"(-9.0, 4.0, 16.0)",886.6641,Empty,TrialFire,
"(5.0, 1.0, 2.0)",886.7789,Distractor,None,
"(7.0, 4.0, 0.0)",886.7789,Distractor,None,
"(4.0, 1.0, 16.0)",886.7789,Distractor,None,
"(2.0, 3.0, 17.0)",886.7789,Distractor,None,
"(-19.0, 3.0, 0.0)",886.7789,Distractor,None,
"(-19.0, 1.0, 7.0)",886.7789,Distractor,None,
"(-18.0, 2.0, 0.0)",886.7789,Distractor,None,
"(18.0, 1.0, 4.0)",886.7789,Distractor,None,
"(17.0, 2.0, 2.0)",886.7789,Distractor,None,
"(-18.0, 2.0, 11.0)",886.7789,Distractor,None,
"(-18.0, 2.0, 8.0)",886.7789,Distractor,None,
"(-18.0, 3.0, 0.0)",886.7789,Distractor,None,
"(-5.0, 4.0, 11.0)",886.7789,Distractor,None,
"(-9.0, 3.0, 18.0)",886.7789,Distractor,None,
"(-13.0, 4.0, 0.0)",886.7789,Distractor,None,
"(7.0, 1.0, 2.0)",886.7789,Distractor,None,
"(19.0, 3.0, 1.0)",886.7789,Distractor,None,
"(-8.0, 1.0, 9.0)",886.7789,Distractor,None,
"(1.0, 3.0, 13.0)",886.7789,Distractor,None,
"(-11.0, 4.0, 18.0)",886.7789,Distractor,None,
"(-4.0, 2.0, 9.0)",886.7789,Distractor,None,
"(12.0, 3.0, 7.0)",886.7789,Distractor,None,
"(16.0, 1.0, 9.0)",886.7789,Distractor,None,
"(-8.0, 1.0, 13.0)",886.7789,Distractor,None,
"(10.0, 3.0, 7.0)",886.7789,Distractor,None,
