position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",222.8999,Distractor,BlockFire,
"(-19.0, 1.0, 14.0)",222.8765,Empty,BlockFire,
"(-19.0, 1.0, 15.0)",222.8999,Distractor,BlockFire,
"(-19.0, 1.0, 16.0)",222.8765,Empty,BlockFire,
"(-19.0, 2.0, 13.0)",222.8765,Empty,BlockFire,
"(-19.0, 2.0, 14.0)",222.8765,Empty,BlockFire,
"(-19.0, 2.0, 15.0)",222.8765,Empty,BlockFire,
"(-19.0, 2.0, 16.0)",222.8999,Distractor,BlockFire,
"(-19.0, 3.0, 13.0)",222.8765,Empty,BlockFire,
"(-19.0, 3.0, 14.0)",222.8765,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",222.8765,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",222.8765,Empty,BlockFire,
"(-19.0, 4.0, 13.0)",222.8765,Empty,BlockFire,
"(-19.0, 4.0, 14.0)",222.8765,Empty,BlockFire,
"(-19.0, 4.0, 15.0)",222.8765,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",222.8765,Empty,BlockFire,
"(-18.0, 1.0, 13.0)",222.8765,Empty,BlockFire,
"(-18.0, 1.0, 14.0)",222.8765,Empty,BlockFire,
"(-18.0, 1.0, 15.0)",222.8765,Empty,BlockFire,
"(-18.0, 1.0, 16.0)",222.8999,Distractor,BlockFire,
"(-18.0, 2.0, 13.0)",222.8765,Empty,BlockFire,
"(-18.0, 2.0, 14.0)",222.8765,Empty,BlockFire,
"(-18.0, 2.0, 15.0)",222.8999,Distractor,BlockFire,
"(-18.0, 2.0, 16.0)",222.8765,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",222.8765,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",222.8765,Empty,BlockFire,
"(-18.0, 3.0, 15.0)",222.8765,Empty,BlockFire,
"(-18.0, 3.0, 16.0)",222.8765,Empty,BlockFire,
"(-18.0, 4.0, 13.0)",222.8765,Empty,BlockFire,
"(-18.0, 4.0, 14.0)",222.8765,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",222.8765,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",222.8765,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",222.8765,Empty,BlockFire,
"(-17.0, 1.0, 14.0)",222.8765,Empty,BlockFire,
"(-17.0, 1.0, 15.0)",222.8765,Empty,BlockFire,
"(-17.0, 1.0, 16.0)",222.8765,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",222.8765,Empty,BlockFire,
"(-17.0, 2.0, 14.0)",222.8765,Empty,BlockFire,
"(-17.0, 2.0, 15.0)",222.8765,Empty,BlockFire,
"(-17.0, 2.0, 16.0)",222.8765,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",222.8999,Distractor,BlockFire,
"(-17.0, 3.0, 14.0)",222.8765,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",222.8765,Empty,BlockFire,
"(-17.0, 3.0, 16.0)",222.8765,Empty,BlockFire,
"(-17.0, 4.0, 13.0)",222.8765,Empty,BlockFire,
"(-17.0, 4.0, 14.0)",222.8765,Empty,BlockFire,
"(-17.0, 4.0, 15.0)",222.8765,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",222.8765,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",222.8765,Empty,BlockFire,
"(-16.0, 1.0, 14.0)",222.8765,Empty,BlockFire,
"(-16.0, 1.0, 15.0)",222.8765,Empty,BlockFire,
"(-16.0, 1.0, 16.0)",222.8765,Empty,BlockFire,
"(-16.0, 2.0, 13.0)",222.8765,Empty,BlockFire,
"(-16.0, 2.0, 14.0)",222.8765,Empty,BlockFire,
"(-16.0, 2.0, 15.0)",222.8765,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",222.8765,Empty,BlockFire,
"(-16.0, 3.0, 13.0)",222.8765,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",222.8765,Empty,BlockFire,
"(-16.0, 3.0, 15.0)",222.8765,Empty,BlockFire,
"(-16.0, 3.0, 16.0)",222.8765,Empty,BlockFire,
"(-16.0, 4.0, 13.0)",222.8765,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",222.8765,Empty,BlockFire,
"(-16.0, 4.0, 15.0)",222.8765,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",222.8765,Empty,BlockFire,
"(-12.0, 3.0, 6.0)",222.8882,Distractor,None,
"(14.0, 4.0, 6.0)",222.8882,Distractor,None,
"(5.0, 2.0, 19.0)",222.8882,Distractor,None,
"(-20.0, 1.0, 8.0)",222.8882,Distractor,None,
"(-12.0, 4.0, 8.0)",222.8882,Distractor,None,
"(14.0, 1.0, 13.0)",222.8882,Distractor,None,
"(-12.0, 3.0, 9.0)",222.8882,Distractor,None,
"(2.0, 3.0, 14.0)",222.8882,Distractor,None,
"(-12.0, 4.0, 17.0)",222.8882,Distractor,None,
"(-1.0, 4.0, 6.0)",222.8882,Distractor,None,
"(-15.0, 3.0, 6.0)",222.8882,Distractor,None,
"(14.0, 3.0, 8.0)",222.8882,Distractor,None,
"(13.0, 4.0, 12.0)",222.8882,Distractor,None,
"(8.0, 1.0, 19.0)",222.8882,Distractor,None,
"(-2.0, 3.0, 11.0)",222.8882,Distractor,None,
"(14.0, 2.0, 15.0)",222.8882,Distractor,None,
"(-8.0, 2.0, 18.0)",222.8882,Distractor,None,
"(-20.0, 4.0, 1.0)",222.8882,Distractor,None,
"(15.0, 3.0, 19.0)",222.8882,Distractor,None,
"(1.0, 3.0, 10.0)",222.8882,Distractor,None,
"(-20.0, 2.0, 7.0)",222.8882,Distractor,None,
"(10.0, 4.0, 17.0)",222.8882,Distractor,None,
"(7.0, 1.0, 8.0)",222.8882,Distractor,None,
"(3.0, 2.0, 16.0)",222.8882,Distractor,None,
"(4.0, 4.0, 0.0)",222.8882,Distractor,None,
"(-9.0, 4.0, 6.0)",222.8882,Distractor,None,
"(1.0, 3.0, 6.0)",222.8882,Distractor,None,
"(14.0, 1.0, 19.0)",222.8882,Distractor,None,
"(14.0, 2.0, 8.0)",222.8882,Distractor,None,
"(-16.0, 1.0, 17.0)",222.8882,Distractor,None,
"(16.0, 1.0, 15.0)",0,Empty,None,
"(9.0, 4.0, 16.0)",222.9225,Target,None,
