position,timeFrame,voxelType,fireType,
"(-4.0, 4.0, 17.0)",1321.417,Empty,TrialFire,
"(-6.0, 1.0, 15.0)",1321.417,Empty,TrialFire,
"(-6.0, 1.0, 16.0)",1321.593,Distractor,TrialFire,
"(-6.0, 1.0, 17.0)",1321.581,Distractor,TrialFire,
"(-6.0, 1.0, 18.0)",1321.417,Empty,TrialFire,
"(-6.0, 2.0, 15.0)",1321.417,Empty,TrialFire,
"(-6.0, 2.0, 16.0)",1321.417,Empty,TrialFire,
"(-6.0, 2.0, 17.0)",1321.581,Distractor,TrialFire,
"(-6.0, 2.0, 18.0)",1321.417,Empty,TrialFire,
"(-6.0, 3.0, 15.0)",1321.417,Empty,TrialFire,
"(-6.0, 3.0, 16.0)",1321.417,Empty,TrialFire,
"(-6.0, 3.0, 17.0)",1321.417,Empty,TrialFire,
"(-6.0, 3.0, 18.0)",1321.417,Empty,TrialFire,
"(-6.0, 4.0, 15.0)",1321.417,Empty,TrialFire,
"(-6.0, 4.0, 16.0)",1321.417,Empty,TrialFire,
"(-6.0, 4.0, 17.0)",1321.417,Empty,TrialFire,
"(-6.0, 4.0, 18.0)",1321.417,Empty,TrialFire,
"(-5.0, 1.0, 15.0)",1321.417,Empty,TrialFire,
"(-5.0, 1.0, 16.0)",1321.417,Empty,TrialFire,
"(-5.0, 1.0, 17.0)",1321.417,Empty,TrialFire,
"(-5.0, 1.0, 18.0)",1321.417,Empty,TrialFire,
"(-5.0, 2.0, 15.0)",1321.417,Empty,TrialFire,
"(-5.0, 2.0, 16.0)",1321.417,Empty,TrialFire,
"(-5.0, 2.0, 17.0)",1321.417,Empty,TrialFire,
"(-5.0, 2.0, 18.0)",1321.417,Empty,TrialFire,
"(-5.0, 3.0, 15.0)",1321.417,Empty,TrialFire,
"(-5.0, 3.0, 16.0)",1321.417,Empty,TrialFire,
"(-5.0, 3.0, 17.0)",1321.417,Empty,TrialFire,
"(-5.0, 3.0, 18.0)",1321.417,Empty,TrialFire,
"(-5.0, 4.0, 15.0)",1321.417,Empty,TrialFire,
"(-5.0, 4.0, 16.0)",1321.417,Empty,TrialFire,
"(-5.0, 4.0, 17.0)",1321.417,Empty,TrialFire,
"(-5.0, 4.0, 18.0)",1321.581,Distractor,TrialFire,
"(-4.0, 1.0, 15.0)",1321.581,Distractor,TrialFire,
"(-4.0, 1.0, 16.0)",1321.417,Empty,TrialFire,
"(-4.0, 1.0, 17.0)",1321.417,Empty,TrialFire,
"(-4.0, 1.0, 18.0)",1321.417,Empty,TrialFire,
"(-4.0, 2.0, 15.0)",1321.581,Distractor,TrialFire,
"(-4.0, 2.0, 16.0)",1321.417,Empty,TrialFire,
"(-4.0, 2.0, 17.0)",1321.417,Empty,TrialFire,
"(-4.0, 2.0, 18.0)",1321.417,Empty,TrialFire,
"(-4.0, 3.0, 15.0)",1321.417,Empty,TrialFire,
"(-4.0, 3.0, 16.0)",1321.417,Empty,TrialFire,
"(-4.0, 3.0, 17.0)",1321.581,Distractor,TrialFire,
"(-4.0, 3.0, 18.0)",1321.417,Empty,TrialFire,
"(-4.0, 4.0, 15.0)",1321.417,Empty,TrialFire,
"(-4.0, 4.0, 16.0)",1321.417,Empty,TrialFire,
"(-4.0, 4.0, 18.0)",1321.417,Empty,TrialFire,
"(-3.0, 1.0, 15.0)",1321.417,Empty,TrialFire,
"(-3.0, 1.0, 16.0)",1321.417,Empty,TrialFire,
"(-3.0, 1.0, 17.0)",1321.417,Empty,TrialFire,
"(-3.0, 1.0, 18.0)",1321.417,Empty,TrialFire,
"(-3.0, 2.0, 15.0)",1321.417,Empty,TrialFire,
"(-3.0, 2.0, 16.0)",1321.417,Empty,TrialFire,
"(-3.0, 2.0, 17.0)",1321.417,Empty,TrialFire,
"(-3.0, 2.0, 18.0)",1321.417,Empty,TrialFire,
"(-3.0, 3.0, 15.0)",1321.417,Empty,TrialFire,
"(-3.0, 3.0, 16.0)",1321.417,Empty,TrialFire,
"(-3.0, 3.0, 17.0)",1321.417,Empty,TrialFire,
"(-3.0, 3.0, 18.0)",1321.417,Empty,TrialFire,
"(-3.0, 4.0, 15.0)",1321.417,Empty,TrialFire,
"(-3.0, 4.0, 16.0)",1321.417,Empty,TrialFire,
"(-3.0, 4.0, 17.0)",1321.417,Empty,TrialFire,
"(-3.0, 4.0, 18.0)",1321.417,Empty,TrialFire,
"(8.0, 3.0, 12.0)",1321.559,Distractor,None,
"(5.0, 3.0, 4.0)",1321.559,Distractor,None,
"(19.0, 2.0, 1.0)",1321.559,Distractor,None,
"(-20.0, 1.0, 19.0)",1321.559,Distractor,None,
"(8.0, 4.0, 5.0)",1321.559,Distractor,None,
"(8.0, 1.0, 10.0)",1321.559,Distractor,None,
"(-10.0, 2.0, 14.0)",1321.559,Distractor,None,
"(-14.0, 3.0, 9.0)",1321.559,Distractor,None,
"(-3.0, 4.0, 14.0)",1321.559,Distractor,None,
"(-19.0, 2.0, 14.0)",1321.559,Distractor,None,
"(14.0, 3.0, 5.0)",1321.559,Distractor,None,
"(-8.0, 2.0, 10.0)",1321.559,Distractor,None,
"(-2.0, 3.0, 16.0)",1321.559,Distractor,None,
"(8.0, 3.0, 17.0)",1321.559,Distractor,None,
"(-2.0, 3.0, 7.0)",1321.559,Distractor,None,
"(1.0, 3.0, 18.0)",1321.559,Distractor,None,
"(16.0, 3.0, 16.0)",1321.559,Distractor,None,
"(-19.0, 3.0, 18.0)",1321.559,Distractor,None,
"(2.0, 3.0, 5.0)",1321.559,Distractor,None,
"(16.0, 4.0, 11.0)",1321.559,Distractor,None,
"(-15.0, 2.0, 19.0)",1321.559,Distractor,None,
"(16.0, 1.0, 10.0)",1321.559,Distractor,None,
"(-2.0, 1.0, 9.0)",1321.559,Distractor,None,
"(8.0, 2.0, 15.0)",1321.559,Distractor,None,
"(-1.0, 2.0, 15.0)",1321.559,Distractor,None,
"(5.0, 2.0, 11.0)",1321.559,Distractor,None,
"(18.0, 2.0, 12.0)",1321.559,Distractor,None,
"(3.0, 3.0, 12.0)",1321.559,Distractor,None,
"(15.0, 2.0, 0.0)",1321.559,Distractor,None,
"(12.0, 4.0, 10.0)",1321.559,Distractor,None,
