position,timeFrame,voxelType,fireType,
"(-17.0, 1.0, 10.0)",107.685,Empty,TrialFire,
"(-19.0, 1.0, 8.0)",107.685,Empty,TrialFire,
"(-19.0, 1.0, 9.0)",107.685,Empty,TrialFire,
"(-19.0, 1.0, 10.0)",107.685,Empty,TrialFire,
"(-19.0, 1.0, 11.0)",107.685,Empty,TrialFire,
"(-19.0, 2.0, 8.0)",107.685,Empty,TrialFire,
"(-19.0, 2.0, 9.0)",107.685,Empty,TrialFire,
"(-19.0, 2.0, 10.0)",107.685,Empty,TrialFire,
"(-19.0, 2.0, 11.0)",107.685,Empty,TrialFire,
"(-19.0, 3.0, 8.0)",107.685,Empty,TrialFire,
"(-19.0, 3.0, 9.0)",107.685,Empty,TrialFire,
"(-19.0, 3.0, 10.0)",107.8158,Distractor,TrialFire,
"(-19.0, 3.0, 11.0)",107.8158,Distractor,TrialFire,
"(-19.0, 4.0, 8.0)",107.685,Empty,TrialFire,
"(-19.0, 4.0, 9.0)",107.685,Empty,TrialFire,
"(-19.0, 4.0, 10.0)",107.685,Empty,TrialFire,
"(-19.0, 4.0, 11.0)",107.685,Empty,TrialFire,
"(-18.0, 1.0, 8.0)",107.685,Empty,TrialFire,
"(-18.0, 1.0, 9.0)",107.685,Empty,TrialFire,
"(-18.0, 1.0, 10.0)",107.8158,Distractor,TrialFire,
"(-18.0, 1.0, 11.0)",107.685,Empty,TrialFire,
"(-18.0, 2.0, 8.0)",107.685,Empty,TrialFire,
"(-18.0, 2.0, 9.0)",107.685,Empty,TrialFire,
"(-18.0, 2.0, 10.0)",107.685,Empty,TrialFire,
"(-18.0, 2.0, 11.0)",107.8158,Distractor,TrialFire,
"(-18.0, 3.0, 8.0)",107.685,Empty,TrialFire,
"(-18.0, 3.0, 9.0)",107.685,Empty,TrialFire,
"(-18.0, 3.0, 10.0)",107.685,Empty,TrialFire,
"(-18.0, 3.0, 11.0)",107.685,Empty,TrialFire,
"(-18.0, 4.0, 8.0)",107.685,Empty,TrialFire,
"(-18.0, 4.0, 9.0)",107.685,Empty,TrialFire,
"(-18.0, 4.0, 10.0)",107.685,Empty,TrialFire,
"(-18.0, 4.0, 11.0)",107.685,Empty,TrialFire,
"(-17.0, 1.0, 8.0)",107.685,Empty,TrialFire,
"(-17.0, 1.0, 9.0)",107.685,Empty,TrialFire,
"(-17.0, 1.0, 11.0)",107.685,Empty,TrialFire,
"(-17.0, 2.0, 8.0)",107.685,Empty,TrialFire,
"(-17.0, 2.0, 9.0)",107.685,Empty,TrialFire,
"(-17.0, 2.0, 10.0)",107.685,Empty,TrialFire,
"(-17.0, 2.0, 11.0)",107.685,Empty,TrialFire,
"(-17.0, 3.0, 8.0)",107.685,Empty,TrialFire,
"(-17.0, 3.0, 9.0)",107.685,Empty,TrialFire,
"(-17.0, 3.0, 10.0)",107.685,Empty,TrialFire,
"(-17.0, 3.0, 11.0)",107.685,Empty,TrialFire,
"(-17.0, 4.0, 8.0)",107.685,Empty,TrialFire,
"(-17.0, 4.0, 9.0)",107.685,Empty,TrialFire,
"(-17.0, 4.0, 10.0)",107.685,Empty,TrialFire,
"(-17.0, 4.0, 11.0)",107.8158,Distractor,TrialFire,
"(-16.0, 1.0, 8.0)",107.8158,Distractor,TrialFire,
"(-16.0, 1.0, 9.0)",107.685,Empty,TrialFire,
"(-16.0, 1.0, 10.0)",107.685,Empty,TrialFire,
"(-16.0, 1.0, 11.0)",107.685,Empty,TrialFire,
"(-16.0, 2.0, 8.0)",107.685,Empty,TrialFire,
"(-16.0, 2.0, 9.0)",107.685,Empty,TrialFire,
"(-16.0, 2.0, 10.0)",107.685,Empty,TrialFire,
"(-16.0, 2.0, 11.0)",107.685,Empty,TrialFire,
"(-16.0, 3.0, 8.0)",107.685,Empty,TrialFire,
"(-16.0, 3.0, 9.0)",107.685,Empty,TrialFire,
"(-16.0, 3.0, 10.0)",107.685,Empty,TrialFire,
"(-16.0, 3.0, 11.0)",107.685,Empty,TrialFire,
"(-16.0, 4.0, 8.0)",107.685,Empty,TrialFire,
"(-16.0, 4.0, 9.0)",107.685,Empty,TrialFire,
"(-16.0, 4.0, 10.0)",107.685,Empty,TrialFire,
