position,timeFrame,voxelType,fireType,
"(-2.0, 4.0, 4.0)",1125.302,Empty,TrialFire,
"(-4.0, 1.0, 2.0)",1125.302,Empty,TrialFire,
"(-4.0, 1.0, 3.0)",1125.458,Distractor,TrialFire,
"(-4.0, 1.0, 4.0)",1125.302,Empty,TrialFire,
"(-4.0, 1.0, 5.0)",1125.302,Empty,TrialFire,
"(-4.0, 2.0, 2.0)",1125.302,Empty,TrialFire,
"(-4.0, 2.0, 3.0)",1125.302,Empty,TrialFire,
"(-4.0, 2.0, 4.0)",1125.302,Empty,TrialFire,
"(-4.0, 2.0, 5.0)",1125.302,Empty,TrialFire,
"(-4.0, 3.0, 2.0)",1125.302,Empty,TrialFire,
"(-4.0, 3.0, 3.0)",1125.302,Empty,TrialFire,
"(-4.0, 3.0, 4.0)",1125.475,Distractor,TrialFire,
"(-4.0, 3.0, 5.0)",1125.458,Distractor,TrialFire,
"(-4.0, 4.0, 2.0)",1125.302,Empty,TrialFire,
"(-4.0, 4.0, 3.0)",1125.302,Empty,TrialFire,
"(-4.0, 4.0, 4.0)",1125.302,Empty,TrialFire,
"(-4.0, 4.0, 5.0)",1125.302,Empty,TrialFire,
"(-3.0, 1.0, 3.0)",1125.302,Empty,TrialFire,
"(-3.0, 1.0, 4.0)",1125.302,Empty,TrialFire,
"(-3.0, 1.0, 5.0)",1125.302,Empty,TrialFire,
"(-3.0, 2.0, 2.0)",1125.302,Empty,TrialFire,
"(-3.0, 2.0, 3.0)",1125.466,Distractor,TrialFire,
"(-3.0, 2.0, 4.0)",1125.302,Empty,TrialFire,
"(-3.0, 2.0, 5.0)",1125.302,Empty,TrialFire,
"(-3.0, 3.0, 2.0)",1125.458,Distractor,TrialFire,
"(-3.0, 3.0, 3.0)",1125.302,Empty,TrialFire,
"(-3.0, 3.0, 4.0)",1125.302,Empty,TrialFire,
"(-3.0, 3.0, 5.0)",1125.302,Empty,TrialFire,
"(-3.0, 4.0, 2.0)",1125.302,Empty,TrialFire,
"(-3.0, 4.0, 3.0)",1125.302,Empty,TrialFire,
"(-3.0, 4.0, 4.0)",1125.302,Empty,TrialFire,
"(-3.0, 4.0, 5.0)",1125.302,Empty,TrialFire,
"(-2.0, 1.0, 4.0)",1125.302,Empty,TrialFire,
"(-2.0, 1.0, 5.0)",1125.302,Empty,TrialFire,
"(-2.0, 2.0, 3.0)",1125.302,Empty,TrialFire,
"(-2.0, 2.0, 4.0)",1125.302,Empty,TrialFire,
"(-2.0, 2.0, 5.0)",1125.302,Empty,TrialFire,
"(-2.0, 3.0, 2.0)",1125.302,Empty,TrialFire,
"(-2.0, 3.0, 3.0)",1125.302,Empty,TrialFire,
"(-2.0, 3.0, 4.0)",1125.302,Empty,TrialFire,
"(-2.0, 3.0, 5.0)",1125.302,Empty,TrialFire,
"(-2.0, 4.0, 2.0)",1125.458,Distractor,TrialFire,
"(-2.0, 4.0, 3.0)",1125.302,Empty,TrialFire,
"(-2.0, 4.0, 5.0)",1125.302,Empty,TrialFire,
"(-1.0, 1.0, 4.0)",1125.302,Empty,TrialFire,
"(-1.0, 1.0, 5.0)",1125.302,Empty,TrialFire,
"(-1.0, 2.0, 4.0)",1125.302,Empty,TrialFire,
"(-1.0, 2.0, 5.0)",1125.458,Distractor,TrialFire,
"(-1.0, 3.0, 3.0)",1125.302,Empty,TrialFire,
"(-1.0, 3.0, 4.0)",1125.302,Empty,TrialFire,
"(-1.0, 3.0, 5.0)",1125.302,Empty,TrialFire,
"(-1.0, 4.0, 2.0)",1125.302,Empty,TrialFire,
"(-1.0, 4.0, 3.0)",1125.458,Distractor,TrialFire,
"(-1.0, 4.0, 4.0)",1125.302,Empty,TrialFire,
"(-1.0, 4.0, 5.0)",1125.302,Empty,TrialFire,
"(18.0, 4.0, 12.0)",1125.434,Distractor,None,
"(-6.0, 4.0, 19.0)",1125.434,Distractor,None,
"(-16.0, 3.0, 17.0)",1125.434,Distractor,None,
"(14.0, 4.0, 3.0)",1125.434,Distractor,None,
"(-15.0, 4.0, 8.0)",1125.434,Distractor,None,
"(4.0, 2.0, 1.0)",1125.434,Distractor,None,
"(-3.0, 2.0, 8.0)",1125.434,Distractor,None,
"(-14.0, 1.0, 4.0)",1125.434,Distractor,None,
"(3.0, 3.0, 1.0)",1125.434,Distractor,None,
"(-12.0, 1.0, 13.0)",1125.434,Distractor,None,
"(16.0, 1.0, 18.0)",1125.434,Distractor,None,
"(-16.0, 4.0, 6.0)",1125.434,Distractor,None,
"(-8.0, 3.0, 12.0)",1125.434,Distractor,None,
"(7.0, 3.0, 12.0)",1125.434,Distractor,None,
"(4.0, 4.0, 13.0)",1125.434,Distractor,None,
"(-9.0, 4.0, 19.0)",1125.434,Distractor,None,
"(7.0, 1.0, 10.0)",1125.434,Distractor,None,
"(-20.0, 1.0, 2.0)",1125.434,Distractor,None,
"(-5.0, 3.0, 8.0)",1125.434,Distractor,None,
"(-18.0, 4.0, 0.0)",1125.434,Distractor,None,
"(5.0, 2.0, 7.0)",1125.434,Distractor,None,
"(-12.0, 2.0, 6.0)",1125.434,Distractor,None,
"(-18.0, 2.0, 6.0)",1125.434,Distractor,None,
"(6.0, 1.0, 9.0)",1125.434,Distractor,None,
"(-3.0, 2.0, 19.0)",1125.434,Distractor,None,
"(-3.0, 4.0, 13.0)",1125.434,Distractor,None,
"(17.0, 1.0, 18.0)",1125.434,Distractor,None,
"(14.0, 4.0, 14.0)",1125.434,Distractor,None,
"(12.0, 4.0, 8.0)",1125.434,Distractor,None,
"(1.0, 4.0, 8.0)",1125.434,Distractor,None,
