position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",1127.737,Empty,BlockFire,
"(-19.0, 1.0, 14.0)",1127.737,Empty,BlockFire,
"(-19.0, 1.0, 15.0)",1127.902,Distractor,BlockFire,
"(-19.0, 1.0, 16.0)",1127.764,Distractor,BlockFire,
"(-19.0, 2.0, 13.0)",1127.824,Distractor,BlockFire,
"(-19.0, 2.0, 14.0)",1127.771,Distractor,BlockFire,
"(-19.0, 2.0, 15.0)",1127.948,Distractor,BlockFire,
"(-19.0, 2.0, 16.0)",1127.737,Empty,BlockFire,
"(-19.0, 3.0, 13.0)",1127.737,Empty,BlockFire,
"(-19.0, 3.0, 14.0)",1127.737,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",1127.737,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",1128.014,Distractor,BlockFire,
"(-19.0, 4.0, 13.0)",1127.737,Empty,BlockFire,
"(-19.0, 4.0, 14.0)",1127.802,Distractor,BlockFire,
"(-19.0, 4.0, 15.0)",1127.737,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",1128.003,Distractor,BlockFire,
"(-18.0, 1.0, 13.0)",1127.737,Empty,BlockFire,
"(-18.0, 1.0, 14.0)",1127.737,Empty,BlockFire,
"(-18.0, 1.0, 15.0)",1127.893,Distractor,BlockFire,
"(-18.0, 1.0, 16.0)",1127.737,Empty,BlockFire,
"(-18.0, 2.0, 13.0)",1127.764,Distractor,BlockFire,
"(-18.0, 2.0, 14.0)",1127.764,Distractor,BlockFire,
"(-18.0, 2.0, 15.0)",1128.025,Distractor,BlockFire,
"(-18.0, 2.0, 16.0)",1127.737,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",1127.737,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",1127.937,Distractor,BlockFire,
"(-18.0, 3.0, 15.0)",1127.926,Distractor,BlockFire,
"(-18.0, 3.0, 16.0)",1127.764,Distractor,BlockFire,
"(-18.0, 4.0, 13.0)",1127.737,Empty,BlockFire,
"(-18.0, 4.0, 14.0)",1127.737,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",1127.737,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",1127.737,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",1127.993,Distractor,BlockFire,
"(-17.0, 1.0, 14.0)",1127.914,Distractor,BlockFire,
"(-17.0, 1.0, 15.0)",1127.859,Distractor,BlockFire,
"(-17.0, 1.0, 16.0)",1127.737,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",1127.764,Distractor,BlockFire,
"(-17.0, 2.0, 14.0)",1127.813,Distractor,BlockFire,
"(-17.0, 2.0, 15.0)",1127.958,Distractor,BlockFire,
"(-17.0, 2.0, 16.0)",1127.737,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",1127.737,Empty,BlockFire,
"(-17.0, 3.0, 14.0)",1127.737,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",1127.737,Empty,BlockFire,
"(-17.0, 3.0, 16.0)",1128.036,Distractor,BlockFire,
"(-17.0, 4.0, 13.0)",1127.764,Distractor,BlockFire,
"(-17.0, 4.0, 14.0)",1127.737,Empty,BlockFire,
"(-17.0, 4.0, 15.0)",1127.737,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",1127.737,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",1127.847,Distractor,BlockFire,
"(-16.0, 1.0, 14.0)",1127.98,Distractor,BlockFire,
"(-16.0, 1.0, 15.0)",1127.869,Distractor,BlockFire,
"(-16.0, 1.0, 16.0)",1127.78,Distractor,BlockFire,
"(-16.0, 2.0, 13.0)",1127.969,Distractor,BlockFire,
"(-16.0, 2.0, 14.0)",1127.737,Empty,BlockFire,
"(-16.0, 2.0, 15.0)",1127.737,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",1127.737,Empty,BlockFire,
"(-16.0, 3.0, 13.0)",1127.737,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",1127.836,Distractor,BlockFire,
"(-16.0, 3.0, 15.0)",1127.881,Distractor,BlockFire,
"(-16.0, 3.0, 16.0)",1127.791,Distractor,BlockFire,
"(-16.0, 4.0, 13.0)",1127.737,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",1127.737,Empty,BlockFire,
"(-16.0, 4.0, 15.0)",1127.737,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",1128.047,Distractor,BlockFire,
"(15.0, 4.0, 12.0)",1127.749,Distractor,None,
"(15.0, 2.0, 11.0)",1127.749,Distractor,None,
"(7.0, 3.0, 5.0)",1127.749,Distractor,None,
"(11.0, 1.0, 2.0)",1127.749,Distractor,None,
"(-20.0, 4.0, 17.0)",1127.749,Distractor,None,
"(10.0, 3.0, 9.0)",1127.749,Distractor,None,
"(-17.0, 3.0, 6.0)",1127.749,Distractor,None,
"(13.0, 3.0, 3.0)",1127.749,Distractor,None,
"(4.0, 3.0, 6.0)",1127.749,Distractor,None,
"(-14.0, 2.0, 17.0)",1127.749,Distractor,None,
"(2.0, 4.0, 3.0)",1127.749,Distractor,None,
"(-15.0, 1.0, 14.0)",1127.749,Distractor,None,
"(-18.0, 2.0, 10.0)",1127.749,Distractor,None,
"(3.0, 2.0, 11.0)",1127.749,Distractor,None,
"(-14.0, 3.0, 17.0)",1127.749,Distractor,None,
"(-20.0, 3.0, 4.0)",1127.749,Distractor,None,
"(-6.0, 2.0, 19.0)",1127.749,Distractor,None,
"(-10.0, 3.0, 1.0)",1127.749,Distractor,None,
"(-12.0, 1.0, 9.0)",1127.749,Distractor,None,
"(14.0, 1.0, 10.0)",1127.749,Distractor,None,
"(12.0, 3.0, 11.0)",1127.749,Distractor,None,
"(-5.0, 3.0, 13.0)",1127.749,Distractor,None,
"(7.0, 3.0, 17.0)",1127.749,Distractor,None,
"(-3.0, 1.0, 16.0)",1127.749,Distractor,None,
"(9.0, 4.0, 8.0)",1127.749,Distractor,None,
"(-7.0, 2.0, 6.0)",1127.749,Distractor,None,
"(-7.0, 2.0, 5.0)",1127.749,Distractor,None,
"(14.0, 2.0, 14.0)",1127.749,Distractor,None,
"(-20.0, 4.0, 11.0)",1127.749,Distractor,None,
"(1.0, 4.0, 7.0)",1127.749,Distractor,None,
