position,timeFrame,voxelType,fireType,
"(-7.0, 3.0, 0.0)",818.5853,Distractor,None,
"(15.0, 3.0, 6.0)",818.5853,Distractor,None,
"(6.0, 1.0, 4.0)",818.5853,Distractor,None,
"(-3.0, 2.0, 2.0)",818.5853,Distractor,None,
"(12.0, 2.0, 13.0)",818.5853,Distractor,None,
"(-18.0, 4.0, 10.0)",818.5853,Distractor,None,
"(-3.0, 3.0, 19.0)",818.5853,Distractor,None,
"(-10.0, 3.0, 2.0)",818.5853,Distractor,None,
"(9.0, 3.0, 13.0)",818.5853,Distractor,None,
"(12.0, 4.0, 15.0)",818.5853,Distractor,None,
"(2.0, 1.0, 19.0)",818.5853,Distractor,None,
"(-15.0, 4.0, 7.0)",818.5853,Distractor,None,
"(9.0, 2.0, 0.0)",818.5853,Distractor,None,
"(-9.0, 2.0, 15.0)",818.5853,Distractor,None,
"(14.0, 2.0, 17.0)",818.5853,Distractor,None,
"(14.0, 3.0, 19.0)",818.5853,Distractor,None,
"(5.0, 2.0, 0.0)",818.5853,Distractor,None,
"(9.0, 3.0, 15.0)",818.5853,Distractor,None,
"(15.0, 3.0, 15.0)",818.5853,Distractor,None,
"(-11.0, 1.0, 0.0)",818.5853,Distractor,None,
"(18.0, 3.0, 10.0)",818.5853,Distractor,None,
"(1.0, 2.0, 14.0)",818.5853,Distractor,None,
"(-1.0, 1.0, 5.0)",818.5853,Distractor,None,
"(-4.0, 4.0, 18.0)",818.5853,Distractor,None,
"(-9.0, 2.0, 3.0)",818.5853,Distractor,None,
"(2.0, 3.0, 12.0)",818.5853,Distractor,None,
"(1.0, 4.0, 5.0)",818.5853,Distractor,None,
"(-10.0, 1.0, 9.0)",818.5853,Distractor,None,
"(19.0, 4.0, 1.0)",818.5853,Distractor,None,
"(-1.0, 4.0, 10.0)",818.5853,Distractor,None,
"(10.0, 1.0, 6.0)",0,Empty,None,
"(-8.0, 2.0, 4.0)",818.6202,Target,None,
