position,timeFrame,voxelType,fireType,
"(-16.0, 3.0, 11.0)",419.3393,Distractor,None,
"(5.0, 1.0, 6.0)",419.3393,Distractor,None,
"(1.0, 1.0, 12.0)",419.3393,Distractor,None,
"(18.0, 4.0, 2.0)",419.3393,Distractor,None,
"(-6.0, 2.0, 6.0)",419.3393,Distractor,None,
"(13.0, 1.0, 7.0)",419.3393,Distractor,None,
"(-1.0, 4.0, 7.0)",419.3393,Distractor,None,
"(-19.0, 3.0, 14.0)",419.3393,Distractor,None,
"(10.0, 1.0, 5.0)",419.3393,Distractor,None,
"(-8.0, 3.0, 14.0)",419.3393,Distractor,None,
"(16.0, 2.0, 5.0)",419.3393,Distractor,None,
"(-11.0, 4.0, 11.0)",419.3393,Distractor,None,
"(8.0, 4.0, 15.0)",419.3393,Distractor,None,
"(15.0, 1.0, 7.0)",419.3393,Distractor,None,
"(-13.0, 1.0, 5.0)",419.3393,Distractor,None,
"(15.0, 2.0, 8.0)",419.3393,Distractor,None,
"(-14.0, 2.0, 16.0)",419.3393,Distractor,None,
"(-8.0, 2.0, 18.0)",419.3393,Distractor,None,
"(11.0, 1.0, 15.0)",419.3393,Distractor,None,
"(18.0, 4.0, 13.0)",419.3393,Distractor,None,
"(7.0, 3.0, 4.0)",419.3393,Distractor,None,
"(-5.0, 4.0, 15.0)",419.3393,Distractor,None,
"(-12.0, 1.0, 17.0)",419.3393,Distractor,None,
"(18.0, 3.0, 11.0)",419.3393,Distractor,None,
"(-19.0, 1.0, 16.0)",419.3393,Distractor,None,
"(-15.0, 4.0, 10.0)",419.3393,Distractor,None,
"(4.0, 2.0, 14.0)",419.3393,Distractor,None,
"(-13.0, 4.0, 3.0)",419.3393,Distractor,None,
"(-8.0, 3.0, 1.0)",419.3393,Distractor,None,
"(-14.0, 3.0, 6.0)",419.3393,Distractor,None,
"(-5.0, 4.0, 12.0)",419.3626,Target,None,
