position,timeFrame,voxelType,fireType,
"(19.0, 4.0, 12.0)",279.3061,Distractor,None,
"(7.0, 2.0, 15.0)",279.3061,Distractor,None,
"(-6.0, 3.0, 14.0)",279.3061,Distractor,None,
"(18.0, 4.0, 13.0)",279.3061,Distractor,None,
"(-5.0, 1.0, 12.0)",279.3061,Distractor,None,
"(-2.0, 1.0, 4.0)",279.3061,Distractor,None,
"(-20.0, 2.0, 13.0)",279.3061,Distractor,None,
"(-18.0, 3.0, 3.0)",279.3061,Distractor,None,
"(14.0, 2.0, 18.0)",279.3061,Distractor,None,
"(-7.0, 2.0, 18.0)",279.3061,Distractor,None,
"(-4.0, 2.0, 10.0)",279.3061,Distractor,None,
"(11.0, 3.0, 1.0)",279.3061,Distractor,None,
"(0.0, 1.0, 14.0)",279.3061,Distractor,None,
"(-7.0, 1.0, 5.0)",279.3061,Distractor,None,
"(-8.0, 4.0, 6.0)",279.3061,Distractor,None,
"(15.0, 3.0, 2.0)",279.3061,Distractor,None,
"(-20.0, 1.0, 6.0)",279.3061,Distractor,None,
"(16.0, 1.0, 2.0)",279.3061,Distractor,None,
"(17.0, 2.0, 3.0)",279.3061,Distractor,None,
"(-8.0, 1.0, 19.0)",279.3061,Distractor,None,
"(-18.0, 3.0, 8.0)",279.3061,Distractor,None,
"(10.0, 3.0, 9.0)",279.3061,Distractor,None,
"(0.0, 1.0, 9.0)",279.3061,Distractor,None,
"(0.0, 3.0, 10.0)",279.3061,Distractor,None,
"(-8.0, 1.0, 9.0)",279.3061,Distractor,None,
"(-18.0, 4.0, 9.0)",279.3061,Distractor,None,
"(13.0, 2.0, 12.0)",279.3061,Distractor,None,
"(1.0, 3.0, 11.0)",279.3061,Distractor,None,
"(14.0, 3.0, 10.0)",279.3061,Distractor,None,
"(-15.0, 2.0, 11.0)",279.3061,Distractor,None,
"(3.0, 4.0, 19.0)",279.3287,Target,None,
