position,timeFrame,voxelType,fireType,
"(-19.0, 1.0, 13.0)",833.0736,Empty,BlockFire,
"(-19.0, 1.0, 14.0)",833.0736,Empty,BlockFire,
"(-19.0, 1.0, 15.0)",833.0953,Distractor,BlockFire,
"(-19.0, 1.0, 16.0)",833.0736,Empty,BlockFire,
"(-19.0, 2.0, 13.0)",833.0736,Empty,BlockFire,
"(-19.0, 2.0, 14.0)",833.0736,Empty,BlockFire,
"(-19.0, 2.0, 15.0)",833.0736,Empty,BlockFire,
"(-19.0, 2.0, 16.0)",833.0736,Empty,BlockFire,
"(-19.0, 3.0, 13.0)",833.0953,Distractor,BlockFire,
"(-19.0, 3.0, 14.0)",833.0736,Empty,BlockFire,
"(-19.0, 3.0, 15.0)",833.0736,Empty,BlockFire,
"(-19.0, 3.0, 16.0)",833.0736,Empty,BlockFire,
"(-19.0, 4.0, 13.0)",833.0736,Empty,BlockFire,
"(-19.0, 4.0, 14.0)",833.0736,Empty,BlockFire,
"(-19.0, 4.0, 15.0)",833.0736,Empty,BlockFire,
"(-19.0, 4.0, 16.0)",833.0736,Empty,BlockFire,
"(-18.0, 1.0, 13.0)",833.0736,Empty,BlockFire,
"(-18.0, 1.0, 14.0)",833.0736,Empty,BlockFire,
"(-18.0, 1.0, 15.0)",833.0736,Empty,BlockFire,
"(-18.0, 1.0, 16.0)",833.0736,Empty,BlockFire,
"(-18.0, 2.0, 13.0)",833.0736,Empty,BlockFire,
"(-18.0, 2.0, 14.0)",833.0736,Empty,BlockFire,
"(-18.0, 2.0, 15.0)",833.0736,Empty,BlockFire,
"(-18.0, 2.0, 16.0)",833.0736,Empty,BlockFire,
"(-18.0, 3.0, 13.0)",833.0736,Empty,BlockFire,
"(-18.0, 3.0, 14.0)",833.0736,Empty,BlockFire,
"(-18.0, 3.0, 15.0)",833.0736,Empty,BlockFire,
"(-18.0, 3.0, 16.0)",833.0736,Empty,BlockFire,
"(-18.0, 4.0, 13.0)",833.0736,Empty,BlockFire,
"(-18.0, 4.0, 14.0)",833.0736,Empty,BlockFire,
"(-18.0, 4.0, 15.0)",833.0736,Empty,BlockFire,
"(-18.0, 4.0, 16.0)",833.0736,Empty,BlockFire,
"(-17.0, 1.0, 13.0)",833.0736,Empty,BlockFire,
"(-17.0, 1.0, 14.0)",833.0736,Empty,BlockFire,
"(-17.0, 1.0, 15.0)",833.0736,Empty,BlockFire,
"(-17.0, 1.0, 16.0)",833.0736,Empty,BlockFire,
"(-17.0, 2.0, 13.0)",833.0736,Empty,BlockFire,
"(-17.0, 2.0, 14.0)",833.0736,Empty,BlockFire,
"(-17.0, 2.0, 15.0)",833.0953,Distractor,BlockFire,
"(-17.0, 2.0, 16.0)",833.0736,Empty,BlockFire,
"(-17.0, 3.0, 13.0)",833.0736,Empty,BlockFire,
"(-17.0, 3.0, 14.0)",833.0736,Empty,BlockFire,
"(-17.0, 3.0, 15.0)",833.0736,Empty,BlockFire,
"(-17.0, 3.0, 16.0)",833.0736,Empty,BlockFire,
"(-17.0, 4.0, 13.0)",833.0953,Distractor,BlockFire,
"(-17.0, 4.0, 14.0)",833.0736,Empty,BlockFire,
"(-17.0, 4.0, 15.0)",833.0736,Empty,BlockFire,
"(-17.0, 4.0, 16.0)",833.0736,Empty,BlockFire,
"(-16.0, 1.0, 13.0)",833.0736,Empty,BlockFire,
"(-16.0, 1.0, 14.0)",833.0736,Empty,BlockFire,
"(-16.0, 1.0, 15.0)",833.0736,Empty,BlockFire,
"(-16.0, 1.0, 16.0)",833.0736,Empty,BlockFire,
"(-16.0, 2.0, 13.0)",833.0953,Distractor,BlockFire,
"(-16.0, 2.0, 14.0)",833.0736,Empty,BlockFire,
"(-16.0, 2.0, 15.0)",833.0736,Empty,BlockFire,
"(-16.0, 2.0, 16.0)",833.0953,Distractor,BlockFire,
"(-16.0, 3.0, 13.0)",833.0736,Empty,BlockFire,
"(-16.0, 3.0, 14.0)",833.0736,Empty,BlockFire,
"(-16.0, 3.0, 15.0)",833.0736,Empty,BlockFire,
"(-16.0, 3.0, 16.0)",833.0736,Empty,BlockFire,
"(-16.0, 4.0, 13.0)",833.0736,Empty,BlockFire,
"(-16.0, 4.0, 14.0)",833.0736,Empty,BlockFire,
"(-16.0, 4.0, 15.0)",833.0736,Empty,BlockFire,
"(-16.0, 4.0, 16.0)",833.0736,Empty,BlockFire,
"(19.0, 3.0, 5.0)",833.0836,Distractor,None,
"(-4.0, 1.0, 8.0)",833.0836,Distractor,None,
"(-16.0, 2.0, 4.0)",833.0836,Distractor,None,
"(-10.0, 4.0, 11.0)",833.0836,Distractor,None,
"(-6.0, 1.0, 4.0)",833.0836,Distractor,None,
"(-14.0, 3.0, 17.0)",833.0836,Distractor,None,
"(-6.0, 4.0, 4.0)",833.0836,Distractor,None,
"(19.0, 4.0, 11.0)",833.0836,Distractor,None,
"(-2.0, 2.0, 14.0)",833.0836,Distractor,None,
"(-8.0, 4.0, 7.0)",833.0836,Distractor,None,
"(-15.0, 4.0, 19.0)",833.0836,Distractor,None,
"(-11.0, 3.0, 11.0)",833.0836,Distractor,None,
"(10.0, 2.0, 17.0)",833.0836,Distractor,None,
"(2.0, 4.0, 18.0)",833.0836,Distractor,None,
"(-17.0, 2.0, 19.0)",833.0836,Distractor,None,
"(4.0, 2.0, 6.0)",833.0836,Distractor,None,
"(-18.0, 4.0, 2.0)",833.0836,Distractor,None,
"(5.0, 2.0, 2.0)",833.0836,Distractor,None,
"(-3.0, 4.0, 8.0)",833.0836,Distractor,None,
"(4.0, 3.0, 11.0)",833.0836,Distractor,None,
"(5.0, 3.0, 17.0)",833.0836,Distractor,None,
"(-14.0, 4.0, 1.0)",833.0836,Distractor,None,
"(12.0, 3.0, 16.0)",833.0836,Distractor,None,
"(-15.0, 1.0, 2.0)",833.0836,Distractor,None,
"(16.0, 4.0, 18.0)",833.0836,Distractor,None,
"(-7.0, 4.0, 15.0)",833.0836,Distractor,None,
"(-15.0, 2.0, 1.0)",833.0836,Distractor,None,
"(3.0, 4.0, 1.0)",833.0836,Distractor,None,
"(-20.0, 1.0, 10.0)",833.0836,Distractor,None,
"(-20.0, 1.0, 2.0)",833.0836,Distractor,None,
"(-18.0, 1.0, 7.0)",833.1061,Target,None,
