position,timeFrame,voxelType,fireType,
"(-3.0, 3.0, 3.0)",1516.126,Empty,TrialFire,
"(-5.0, 1.0, 1.0)",1516.126,Empty,TrialFire,
"(-5.0, 1.0, 2.0)",1516.126,Empty,TrialFire,
"(-5.0, 1.0, 3.0)",1516.126,Empty,TrialFire,
"(-5.0, 1.0, 4.0)",1516.126,Empty,TrialFire,
"(-5.0, 2.0, 1.0)",1516.126,Empty,TrialFire,
"(-5.0, 2.0, 2.0)",1516.126,Empty,TrialFire,
"(-5.0, 2.0, 3.0)",1516.289,Distractor,TrialFire,
"(-5.0, 2.0, 4.0)",1516.289,Distractor,TrialFire,
"(-5.0, 3.0, 1.0)",1516.126,Empty,TrialFire,
"(-5.0, 3.0, 2.0)",1516.126,Empty,TrialFire,
"(-5.0, 3.0, 3.0)",1516.126,Empty,TrialFire,
"(-5.0, 3.0, 4.0)",1516.126,Empty,TrialFire,
"(-5.0, 4.0, 1.0)",1516.126,Empty,TrialFire,
"(-5.0, 4.0, 2.0)",1516.126,Empty,TrialFire,
"(-5.0, 4.0, 3.0)",1516.126,Empty,TrialFire,
"(-5.0, 4.0, 4.0)",1516.126,Empty,TrialFire,
"(-4.0, 1.0, 1.0)",1516.289,Distractor,TrialFire,
"(-4.0, 1.0, 2.0)",1516.126,Empty,TrialFire,
"(-4.0, 1.0, 3.0)",1516.289,Distractor,TrialFire,
"(-4.0, 1.0, 4.0)",1516.126,Empty,TrialFire,
"(-4.0, 2.0, 1.0)",1516.126,Empty,TrialFire,
"(-4.0, 2.0, 2.0)",1516.126,Empty,TrialFire,
"(-4.0, 2.0, 3.0)",1516.126,Empty,TrialFire,
"(-4.0, 2.0, 4.0)",1516.126,Empty,TrialFire,
"(-4.0, 3.0, 1.0)",1516.126,Empty,TrialFire,
"(-4.0, 3.0, 2.0)",1516.126,Empty,TrialFire,
"(-4.0, 3.0, 3.0)",1516.126,Empty,TrialFire,
"(-4.0, 3.0, 4.0)",1516.126,Empty,TrialFire,
"(-4.0, 4.0, 1.0)",1516.126,Empty,TrialFire,
"(-4.0, 4.0, 2.0)",1516.126,Empty,TrialFire,
"(-4.0, 4.0, 3.0)",1516.126,Empty,TrialFire,
"(-4.0, 4.0, 4.0)",1516.126,Empty,TrialFire,
"(-3.0, 1.0, 3.0)",1516.126,Empty,TrialFire,
"(-3.0, 1.0, 4.0)",1516.126,Empty,TrialFire,
"(-3.0, 2.0, 2.0)",1516.126,Empty,TrialFire,
"(-3.0, 2.0, 3.0)",1516.126,Empty,TrialFire,
"(-3.0, 2.0, 4.0)",1516.126,Empty,TrialFire,
"(-3.0, 3.0, 1.0)",1516.126,Empty,TrialFire,
"(-3.0, 3.0, 2.0)",1516.126,Empty,TrialFire,
"(-3.0, 3.0, 4.0)",1516.126,Empty,TrialFire,
"(-3.0, 4.0, 1.0)",1516.126,Empty,TrialFire,
"(-3.0, 4.0, 2.0)",1516.126,Empty,TrialFire,
"(-3.0, 4.0, 3.0)",1516.126,Empty,TrialFire,
"(-3.0, 4.0, 4.0)",1516.289,Distractor,TrialFire,
"(-2.0, 1.0, 4.0)",1516.126,Empty,TrialFire,
"(-2.0, 2.0, 3.0)",1516.126,Empty,TrialFire,
"(-2.0, 2.0, 4.0)",1516.126,Empty,TrialFire,
"(-2.0, 3.0, 2.0)",1516.126,Empty,TrialFire,
"(-2.0, 3.0, 3.0)",1516.299,Distractor,TrialFire,
"(-2.0, 3.0, 4.0)",1516.126,Empty,TrialFire,
"(-2.0, 4.0, 1.0)",1516.126,Empty,TrialFire,
"(-2.0, 4.0, 2.0)",1516.126,Empty,TrialFire,
"(-2.0, 4.0, 3.0)",1516.126,Empty,TrialFire,
"(-2.0, 4.0, 4.0)",1516.289,Distractor,TrialFire,
"(0.0, 2.0, 6.0)",1516.266,Distractor,None,
"(19.0, 2.0, 6.0)",1516.266,Distractor,None,
"(-19.0, 3.0, 0.0)",1516.266,Distractor,None,
"(-10.0, 4.0, 18.0)",1516.266,Distractor,None,
"(-10.0, 1.0, 17.0)",1516.266,Distractor,None,
"(-17.0, 4.0, 12.0)",1516.266,Distractor,None,
"(-12.0, 1.0, 6.0)",1516.266,Distractor,None,
"(-6.0, 2.0, 4.0)",1516.266,Distractor,None,
"(19.0, 2.0, 9.0)",1516.266,Distractor,None,
"(-2.0, 2.0, 10.0)",1516.266,Distractor,None,
"(18.0, 2.0, 10.0)",1516.266,Distractor,None,
"(8.0, 1.0, 4.0)",1516.266,Distractor,None,
"(16.0, 3.0, 0.0)",1516.266,Distractor,None,
"(5.0, 1.0, 19.0)",1516.266,Distractor,None,
"(18.0, 1.0, 18.0)",1516.266,Distractor,None,
"(-12.0, 4.0, 1.0)",1516.266,Distractor,None,
"(-1.0, 4.0, 14.0)",1516.266,Distractor,None,
"(-17.0, 2.0, 10.0)",1516.266,Distractor,None,
"(10.0, 2.0, 18.0)",1516.266,Distractor,None,
"(7.0, 2.0, 18.0)",1516.266,Distractor,None,
"(18.0, 2.0, 7.0)",1516.266,Distractor,None,
"(18.0, 2.0, 8.0)",1516.266,Distractor,None,
"(-14.0, 2.0, 5.0)",1516.266,Distractor,None,
"(-19.0, 2.0, 9.0)",1516.266,Distractor,None,
"(3.0, 2.0, 19.0)",1516.266,Distractor,None,
"(-4.0, 1.0, 9.0)",1516.266,Distractor,None,
"(-15.0, 1.0, 19.0)",1516.266,Distractor,None,
"(-8.0, 3.0, 13.0)",1516.266,Distractor,None,
"(11.0, 1.0, 7.0)",1516.266,Distractor,None,
"(-5.0, 1.0, 15.0)",1516.266,Distractor,None,
