position,timeFrame,voxelType,fireType,
"(-12.0, 1.0, 2.0)",747.3344,Distractor,None,
"(9.0, 3.0, 16.0)",747.3344,Distractor,None,
"(-7.0, 4.0, 0.0)",747.3344,Distractor,None,
"(-10.0, 2.0, 6.0)",747.3344,Distractor,None,
"(2.0, 1.0, 5.0)",747.3344,Distractor,None,
"(19.0, 1.0, 0.0)",747.3344,Distractor,None,
"(10.0, 1.0, 15.0)",747.3344,Distractor,None,
"(9.0, 1.0, 7.0)",747.3344,Distractor,None,
"(-9.0, 3.0, 1.0)",747.3344,Distractor,None,
"(9.0, 2.0, 0.0)",747.3344,Distractor,None,
"(11.0, 1.0, 12.0)",747.3344,Distractor,None,
"(-4.0, 1.0, 1.0)",747.3344,Distractor,None,
"(3.0, 2.0, 15.0)",747.3344,Distractor,None,
"(-9.0, 3.0, 15.0)",747.3344,Distractor,None,
"(-5.0, 3.0, 15.0)",747.3344,Distractor,None,
"(-8.0, 2.0, 6.0)",747.3344,Distractor,None,
"(-2.0, 1.0, 12.0)",747.3344,Distractor,None,
"(7.0, 1.0, 12.0)",747.3344,Distractor,None,
"(9.0, 2.0, 13.0)",747.3344,Distractor,None,
"(3.0, 2.0, 10.0)",747.3344,Distractor,None,
"(-12.0, 4.0, 19.0)",747.3344,Distractor,None,
"(19.0, 1.0, 10.0)",747.3344,Distractor,None,
"(-3.0, 1.0, 19.0)",747.3344,Distractor,None,
"(0.0, 2.0, 15.0)",747.3344,Distractor,None,
"(9.0, 3.0, 1.0)",747.3344,Distractor,None,
"(5.0, 2.0, 5.0)",747.3344,Distractor,None,
"(-9.0, 2.0, 19.0)",747.3344,Distractor,None,
"(-19.0, 2.0, 3.0)",747.3344,Distractor,None,
"(13.0, 1.0, 6.0)",747.3344,Distractor,None,
"(-10.0, 3.0, 5.0)",747.3344,Distractor,None,
"(-14.0, 3.0, 9.0)",747.3566,Target,None,
