position,timeFrame,voxelType,fireType,
"(19.0, 3.0, 5.0)",1270.883,Empty,TrialFire,
"(17.0, 1.0, 3.0)",1270.883,Empty,TrialFire,
"(17.0, 1.0, 4.0)",1270.883,Empty,TrialFire,
"(17.0, 1.0, 5.0)",1270.883,Empty,TrialFire,
"(17.0, 1.0, 6.0)",1270.883,Empty,TrialFire,
"(17.0, 2.0, 3.0)",1271.037,Distractor,TrialFire,
"(17.0, 2.0, 4.0)",1270.883,Empty,TrialFire,
"(17.0, 2.0, 5.0)",1270.883,Empty,TrialFire,
"(17.0, 2.0, 6.0)",1270.883,Empty,TrialFire,
"(17.0, 3.0, 3.0)",1271.037,Distractor,TrialFire,
"(17.0, 3.0, 4.0)",1270.883,Empty,TrialFire,
"(17.0, 3.0, 5.0)",1270.883,Empty,TrialFire,
"(17.0, 3.0, 6.0)",1270.883,Empty,TrialFire,
"(17.0, 4.0, 3.0)",1270.883,Empty,TrialFire,
"(17.0, 4.0, 4.0)",1270.883,Empty,TrialFire,
"(17.0, 4.0, 5.0)",1270.883,Empty,TrialFire,
"(17.0, 4.0, 6.0)",1270.883,Empty,TrialFire,
"(18.0, 1.0, 3.0)",1270.883,Empty,TrialFire,
"(18.0, 1.0, 4.0)",1270.883,Empty,TrialFire,
"(18.0, 1.0, 5.0)",1271.037,Distractor,TrialFire,
"(18.0, 1.0, 6.0)",1270.883,Empty,TrialFire,
"(18.0, 2.0, 3.0)",1270.883,Empty,TrialFire,
"(18.0, 2.0, 4.0)",1270.883,Empty,TrialFire,
"(18.0, 2.0, 5.0)",1270.883,Empty,TrialFire,
"(18.0, 2.0, 6.0)",1270.883,Empty,TrialFire,
"(18.0, 3.0, 3.0)",1270.883,Empty,TrialFire,
"(18.0, 3.0, 4.0)",1270.883,Empty,TrialFire,
"(18.0, 3.0, 5.0)",1270.883,Empty,TrialFire,
"(18.0, 3.0, 6.0)",1270.883,Empty,TrialFire,
"(18.0, 4.0, 3.0)",1270.883,Empty,TrialFire,
"(18.0, 4.0, 4.0)",1270.883,Empty,TrialFire,
"(18.0, 4.0, 5.0)",1270.883,Empty,TrialFire,
"(18.0, 4.0, 6.0)",1270.883,Empty,TrialFire,
"(19.0, 1.0, 3.0)",1270.883,Empty,TrialFire,
"(19.0, 1.0, 4.0)",1271.037,Distractor,TrialFire,
"(19.0, 1.0, 5.0)",1270.883,Empty,TrialFire,
"(19.0, 1.0, 6.0)",1270.883,Empty,TrialFire,
"(19.0, 2.0, 3.0)",1270.883,Empty,TrialFire,
"(19.0, 2.0, 4.0)",1271.037,Distractor,TrialFire,
"(19.0, 2.0, 5.0)",1270.883,Empty,TrialFire,
"(19.0, 2.0, 6.0)",1270.883,Empty,TrialFire,
"(19.0, 3.0, 3.0)",1271.037,Distractor,TrialFire,
"(19.0, 3.0, 4.0)",1270.883,Empty,TrialFire,
"(19.0, 3.0, 6.0)",1270.883,Empty,TrialFire,
"(19.0, 4.0, 3.0)",1270.883,Empty,TrialFire,
"(19.0, 4.0, 4.0)",1270.883,Empty,TrialFire,
"(19.0, 4.0, 5.0)",1270.883,Empty,TrialFire,
"(19.0, 4.0, 6.0)",1270.883,Empty,TrialFire,
"(15.0, 1.0, 2.0)",1271.012,Distractor,None,
"(-3.0, 4.0, 8.0)",1271.012,Distractor,None,
"(0.0, 3.0, 10.0)",1271.012,Distractor,None,
"(4.0, 3.0, 14.0)",1271.012,Distractor,None,
"(-13.0, 3.0, 10.0)",1271.012,Distractor,None,
"(-15.0, 4.0, 2.0)",1271.012,Distractor,None,
"(-10.0, 2.0, 18.0)",1271.012,Distractor,None,
"(8.0, 3.0, 14.0)",1271.012,Distractor,None,
"(16.0, 1.0, 18.0)",1271.012,Distractor,None,
"(4.0, 4.0, 6.0)",1271.012,Distractor,None,
"(-8.0, 1.0, 8.0)",1271.012,Distractor,None,
"(-10.0, 1.0, 3.0)",1271.012,Distractor,None,
"(16.0, 2.0, 18.0)",1271.012,Distractor,None,
"(-10.0, 3.0, 10.0)",1271.012,Distractor,None,
"(-6.0, 1.0, 18.0)",1271.012,Distractor,None,
"(-4.0, 2.0, 5.0)",1271.012,Distractor,None,
"(-7.0, 4.0, 1.0)",1271.012,Distractor,None,
"(-4.0, 2.0, 12.0)",1271.012,Distractor,None,
"(4.0, 3.0, 15.0)",1271.012,Distractor,None,
"(5.0, 1.0, 15.0)",1271.012,Distractor,None,
"(16.0, 3.0, 3.0)",1271.012,Distractor,None,
"(-17.0, 2.0, 7.0)",1271.012,Distractor,None,
"(0.0, 1.0, 7.0)",1271.012,Distractor,None,
"(18.0, 1.0, 8.0)",1271.012,Distractor,None,
"(5.0, 1.0, 16.0)",1271.012,Distractor,None,
"(0.0, 2.0, 7.0)",1271.012,Distractor,None,
"(-15.0, 2.0, 6.0)",1271.012,Distractor,None,
"(16.0, 4.0, 8.0)",1271.012,Distractor,None,
"(-10.0, 4.0, 11.0)",1271.012,Distractor,None,
"(6.0, 1.0, 5.0)",1271.012,Distractor,None,
"(16.0, 4.0, 4.0)",1271.045,Target,None,
