trialNumberGlobal,trialNumberBlock,blockNumber,timeExperiment,timeBlock,reactionTime,blockType,fireType,targetType,numDistractors,numDistractorsSing,blockFirePosition,targetPosition,trialFirePosition,
522,522,0,1494.826,1435.757,2.390816,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-9.0, 2.0, 4.0)","(0.0, 0.0, 0.0)",
523,523,0,1497.114,1438.046,2.234818,BlockFire,trial,Fire,30,6,"(-17.0, 2.0, 15.0)","(-2.0, 3.0, 3.0)","(-3.0, 3.0, 3.0)",
524,524,0,1499.304,1440.235,2.011585,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-2.0, 3.0, 13.0)","(0.0, 0.0, 0.0)",
525,525,0,1501.951,1442.882,0.1555298,BlockFire,trial,Fire,30,6,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 9.0)","(5.0, 3.0, 8.0)",
526,526,0,1505.459,1446.391,1.063201,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(8.0, 3.0, 3.0)","(0.0, 0.0, 0.0)",
527,527,0,1507.662,1448.593,1.063201,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(8.0, 4.0, 15.0)","(0.0, 0.0, 0.0)",
528,528,0,1511.267,1452.198,1.986215,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(7.0, 4.0, 1.0)","(15.0, 4.0, 4.0)",
529,529,0,1514.161,1455.092,0.2017326,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-14.0, 2.0, 14.0)","(-14.0, 3.0, 4.0)",
530,530,0,1516.718,1457.65,0.1225446,BlockFire,block,Fire,30,6,"(-17.0, 2.0, 15.0)","(-16.0, 3.0, 15.0)","(0.0, 0.0, 0.0)",
531,531,0,1518.751,1459.682,0.1225446,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-5.0, 2.0, 15.0)","(0.0, 0.0, 0.0)",
532,532,0,1522.717,1463.648,2.525862,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-12.0, 4.0, 4.0)","(0.0, 0.0, 0.0)",
533,533,0,1524.906,1465.838,2.525862,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(5.0, 3.0, 6.0)","(0.0, 0.0, 0.0)",
534,534,0,1527.24,1468.171,2.011206,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-11.0, 3.0, 11.0)","(0.0, 0.0, 0.0)",
535,535,0,1529.843,1470.774,1.745905,BlockFire,none,Fire,30,6,"(-17.0, 2.0, 15.0)","(-20.0, 2.0, 4.0)","(0.0, 0.0, 0.0)",
536,536,0,1533.317,1474.248,1.812979,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(18.0, 3.0, 3.0)","(-4.0, 4.0, 0.0)",
537,537,0,1536.321,1477.252,0.9051501,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(6.0, 4.0, 2.0)","(0.0, 0.0, 0.0)",
538,538,0,1538.892,1479.824,0.17905,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-17.0, 3.0, 11.0)","(-15.0, 3.0, 14.0)",
539,539,0,1542.532,1483.463,1.194711,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(19.0, 3.0, 5.0)","(9.0, 2.0, 6.0)",
540,540,0,1545.089,1486.021,1.194711,BlockFire,trial,NonFire,30,6,"(-17.0, 2.0, 15.0)","(3.0, 4.0, 17.0)","(12.0, 2.0, 6.0)",
541,541,0,1547.212,1488.143,2.033403,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-5.0, 4.0, 12.0)","(0.0, 0.0, 0.0)",
542,542,0,1551.11,1492.041,3.910064,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(18.0, 2.0, 5.0)","(0.0, 0.0, 0.0)",
543,543,0,1552.919,1493.851,3.910064,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(2.0, 4.0, 3.0)","(0.0, 0.0, 0.0)",
544,544,0,1555.565,1496.497,0.08659206,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-18.0, 3.0, 8.0)","(0.0, 0.0, 0.0)",
545,545,0,1557.755,1498.686,0.4029125,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-2.0, 1.0, 18.0)","(0.0, 0.0, 0.0)",
546,546,0,1560.559,1501.49,0.938951,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(13.0, 1.0, 9.0)","(0.0, 0.0, 0.0)",
547,547,0,1563.05,1503.981,0.739693,BlockFire,none,NonFire,30,6,"(-17.0, 2.0, 15.0)","(-15.0, 4.0, 19.0)","(0.0, 0.0, 0.0)",
548,548,0,1565.585,1506.516,0.6922279,BlockFire,block,NonFire,30,6,"(-17.0, 2.0, 15.0)","(5.0, 4.0, 0.0)","(0.0, 0.0, 0.0)",
